507089,Five Nights at Freddy's - O Filme;2023-10-25;951,26;en;0;Five Nights at Freddy's;9,10;14;Um segurança perturbado começa a trabalhar no Freddy Fazbear's Pizza. Na sua estreia no trabalho, apercebe-se de que o turno da noite no Freddy's não vai ser uma tarefa fácil.
980489,Gran Turismo;2023-08-09;893,73;en;0;Gran Turismo;8,10;1151;Baseado na história de Jann Mardenborough, sobre a concretização do sonho impossível de um jogador de Gran Turismo que viu a sua habilidade na consola levá-lo a vencer um duro processo de seleção e tornar-se um verdadeiro piloto profissional.
575264,Missão: Impossível - Ajuste de Contas Parte Um;2023-07-08;998,19;en;0;Mission: Impossible - Dead Reckoning Part One;7,70;1844;Ethan Hunt e a sua equipa IMF embarcam na missão mais perigosa de sempre: localizar uma nova e terrível arma que ameaça toda a humanidade, evitando que caia nas mãos erradas. O destino do mundo está em jogo. Com o controlo do futuro em risco e forças obscuras do passado de Ethan a aproximarem-se, começa uma corrida mortal à volta do globo. Confrontado por um inimigo misterioso e todo-poderoso, Ethan é forçado a considerar que nada pode ser mais importante do que a sua missão - nem mesmo as vidas daqueles com quem ele mais se preocupa.
1151534,Nowhere;2023-09-29;1560,01;es;0;Nowhere;7,60;713;Após escapar de um país devastado por um governo totalitário, uma mulher grávida e sozinha tenta sobreviver noutro tipo de prisão: um contentor à deriva em alto mar.
1034062,Mortal Kombat Legends: Cage Match;2023-10-17;1815,74;en;0;Mortal Kombat Legends: Cage Match;7,60;34;Em Hollywood, nos anos 80, o astro de ação Johnny Cage quer tornar-se um ator de primeira linha. Mas quando a sua colega de elenco, Jennifer, desaparece do set, Johnny vê-se lançado num mundo cheio de sombras, perigos e enganos. Ao embarcar numa jornada sangrenta, Johnny rapidamente descobre que a Cidade dos Anjos tem mais do que alguns demónios no seu meio.
926393,The Equalizer 3: Capítulo Final;2023-08-30;1548,95;en;0;The Equalizer 3;7,30;1068;Desde que abandonou a sua carreira enquanto assassino ao serviço do governo, Robert McCall esforça-se por fazer as pazes com os atos do seu passado e encontra algum conforto ao executar a justiça em nome dos oprimidos. Após mudar-se para o sul de Itália, descobre que os seus novos amigos estão sob o controlo do chefe do crime local. Quando os acontecimentos passam a ser de vida ou morte, McCall sabe o que tem de fazer: tornar-se o protetor dos seus amigos e enfrentar a Máfia.
